1000 10000
1 5 2
1 288 50
1 388 83
1 849 54
1 975 83
1 999 95
2 15 20
2 64 90
2 183 23
2 224 68
2 459 42
2 904 79
3 141 87
3 277 97
3 289 96
3 454 38
3 481 31
3 516 61
3 728 24
3 836 40
3 871 6
3 944 51
4 69 97
4 104 58
4 266 58
4 355 38
4 489 30
4 531 36
4 666 95
4 695 49
4 828 52
4 921 23
4 931 53
4 964 74
4 973 58
5 49 76
5 72 66
5 159 16
5 295 6
5 328 58
5 419 48
5 442 42
5 443 93
5 474 65
5 558 91
5 661 83
5 724 100
5 954 45
5 990 100
6 174 65
6 179 42
6 280 71
6 371 44
6 422 57
6 426 61
6 520 35
6 537 8
6 546 64
6 558 47
6 583 52
6 655 34
6 716 45
6 776 38
6 839 80
7 30 68
7 316 32
7 707 85
7 741 89
7 811 18
7 914 86
7 957 27
7 977 3
8 136 8
8 246 29
8 456 48
8 676 15
8 780 72
8 783 88
8 816 22
8 838 59
8 864 7
8 948 70
8 964 57
9 85 33
9 127 35
9 133 27
9 410 24
9 415 53
9 541 93
9 625 99
9 779 24
9 960 91
9 962 76
10 62 13
10 135 43
10 350 24
10 392 56
10 433 67
10 495 70
10 847 76
10 954 53
10 971 64
10 982 23
10 995 62
11 65 45
11 136 75
11 251 13
11 267 27
11 337 81
11 471 25
11 481 3
11 503 73
11 576 28
11 588 85
11 707 66
11 863 5
12 87 75
12 129 78
12 347 4
12 474 77
12 502 79
12 610 81
12 654 14
12 684 10
12 692 94
12 802 22
12 894 59
12 916 59
12 998 40
13 18 85
13 223 6
13 273 18
13 329 93
13 332 76
13 376 51
13 477 63
13 502 18
13 562 49
13 748 44
13 764 88
13 802 3
13 837 59
13 869 52
13 944 48
14 67 28
14 185 9
14 296 17
14 338 18
14 609 15
14 793 50
14 877 38
14 990 72
15 500 94
15 539 5
15 569 33
15 696 49
15 756 80
15 802 37
15 854 68
15 875 85
15 911 88
16 48 68
16 240 7
16 625 81
16 791 62
16 897 77
17 29 59
17 203 58
17 214 5
17 216 26
17 391 92
17 600 93
17 669 16
18 13 79
18 40 80
18 93 2
18 162 38
18 221 57
18 297 86
18 439 11
18 578 15
18 600 66
18 672 44
18 805 23
18 917 13
18 935 68
19 17 14
19 78 43
19 86 8
19 161 35
19 228 76
19 302 72
19 370 72
19 371 13
19 478 20
19 494 34
19 506 93
19 652 78
19 663 91
19 988 81
19 994 14
20 60 2
20 162 87
20 217 60
20 391 67
20 403 37
20 453 1
20 502 75
20 516 80
20 535 41
20 658 92
20 766 63
20 854 47
20 957 28
20 986 1
21 46 34
21 60 47
21 63 37
21 145 55
21 214 90
21 282 37
21 378 52
21 487 70
21 539 82
21 553 65
21 680 97
21 704 74
21 828 27
21 894 14
21 903 26
22 216 83
22 262 3
22 288 41
22 333 42
22 445 73
22 649 17
22 651 77
22 709 19
22 873 86
23 20 15
23 232 25
23 248 23
23 347 86
23 554 38
23 852 72
23 868 6
24 4 22
24 64 4
24 106 83
24 149 15
24 272 5
24 327 68
24 459 81
24 558 86
24 574 31
24 677 49
24 851 8
24 923 97
25 555 63
25 736 17
25 749 60
25 804 65
25 903 62
25 905 33
25 984 15
25 988 98
26 241 79
26 667 86
26 690 63
26 776 97
26 887 52
27 65 58
27 114 11
27 215 43
27 261 69
27 263 19
27 290 89
27 355 49
27 388 15
27 624 55
27 940 50
28 150 20
28 260 13
28 426 44
28 587 58
28 674 85
28 692 10
28 720 55
28 957 2
29 20 97
29 26 23
29 124 99
29 152 63
29 242 96
29 421 91
29 466 96
29 559 74
29 586 79
29 653 10
29 781 50
29 933 30
29 937 16
30 145 77
30 434 12
30 451 61
30 472 80
30 499 36
30 532 42
30 865 94
30 975 60
31 88 34
31 195 85
31 461 41
31 468 81
31 530 58
31 944 93
32 105 37
32 132 40
32 257 65
32 327 20
32 341 68
32 361 87
32 650 25
32 668 59
32 704 28
32 901 56
33 39 2
33 98 56
33 152 70
33 185 21
33 367 79
33 397 5
33 510 76
33 684 25
33 769 60
34 36 37
34 69 45
34 83 95
34 213 70
34 250 36
34 372 17
34 434 4
34 454 9
34 518 49
34 520 98
34 547 91
34 721 76
34 844 34
34 945 5
34 971 19
35 94 8
35 127 97
35 341 96
35 351 63
35 400 14
35 445 96
35 527 27
35 553 93
35 667 96
35 931 6
35 987 95
36 92 100
36 147 18
36 372 86
36 476 64
36 529 75
36 808 80
37 73 75
37 82 100
37 85 43
37 106 64
37 273 47
37 439 48
37 619 98
37 658 78
37 668 31
37 678 83
37 694 56
37 698 34
38 23 10
38 198 98
38 209 79
38 305 21
38 519 79
38 558 89
38 580 7
38 717 33
38 746 18
38 963 21
38 999 88
39 10 2
39 70 65
39 407 19
39 452 44
39 711 27
39 789 69
39 793 64
40 4 72
40 309 92
40 311 78
40 506 17
40 532 42
40 669 13
40 860 42
40 901 96
40 921 1
41 101 13
41 151 28
41 169 92
41 297 100
41 525 58
41 686 57
41 714 39
41 722 1
41 913 2
42 17 23
42 64 7
42 85 23
42 87 43
42 104 34
42 163 99
42 166 8
42 188 6
42 280 20
42 472 61
42 578 71
42 630 51
42 696 39
42 815 42
43 89 41
43 207 84
43 272 78
43 345 40
43 365 63
43 585 89
43 654 65
43 665 22
43 775 58
43 819 68
43 824 70
43 848 20
43 853 64
43 974 69
44 49 55
44 58 74
44 363 18
44 461 79
44 509 66
44 524 67
44 652 90
44 785 65
44 799 15
44 851 3
44 862 57
44 958 61
45 170 9
45 257 9
45 480 5
45 505 55
45 590 97
45 633 96
45 643 78
45 690 70
45 946 5
45 950 76
46 185 48
46 249 10
46 465 28
46 577 64
46 654 44
46 739 14
46 811 35
46 926 100
47 67 75
47 174 43
47 361 64
47 375 62
47 595 40
47 657 2
47 689 46
47 722 11
47 843 84
47 899 6
48 125 2
48 270 78
48 279 12
48 305 32
48 336 83
48 509 67
48 693 64
48 727 48
48 913 39
49 20 43
49 158 24
49 203 84
49 219 96
49 249 46
49 267 40
49 285 40
49 523 81
49 549 8
49 754 21
49 809 79
49 810 96
49 911 81
49 952 19
50 28 21
50 150 66
50 287 39
50 294 9
50 467 68
50 579 31
50 661 75
50 743 8
50 770 42
50 784 4
50 808 35
50 818 50
50 927 68
51 53 76
51 95 56
51 133 85
51 488 2
51 508 6
51 835 98
51 878 69
51 911 72
51 977 34
52 239 19
52 318 34
52 375 51
52 479 16
52 500 20
52 741 83
52 763 52
52 783 33
52 872 8
52 875 7
52 881 46
52 900 46
52 903 7
52 972 81
53 78 28
53 244 29
53 252 49
53 359 91
53 362 12
53 563 94
53 681 67
53 990 99
54 120 80
54 129 35
54 164 6
54 251 44
54 376 91
54 518 93
54 585 43
54 633 29
54 706 55
54 714 92
54 814 80
54 818 47
54 881 47
54 984 34
55 82 73
55 251 26
55 334 50
55 384 5
55 396 93
55 459 38
55 484 87
55 640 49
55 685 53
55 686 92
55 708 65
55 927 33
55 947 44
56 41 52
56 47 64
56 140 77
56 203 45
56 289 7
56 315 73
56 385 47
56 454 22
56 461 98
56 485 58
56 527 51
56 530 27
56 632 46
56 645 56
56 653 29
56 707 8
56 893 34
57 204 75
57 245 4
57 320 95
57 381 69
57 387 39
57 440 85
57 725 57
57 740 96
57 930 79
57 943 53
57 978 63
58 16 39
58 81 99
58 257 67
58 342 92
58 421 48
58 459 5
58 562 92
58 643 44
58 730 40
58 898 100
59 14 71
59 86 79
59 393 92
